id,name,description,price,category,image_url,is_available,created_at,updated_at
1,"Burger Classique","Steak juteux de bœuf avec laitue, tomate, oignons et sauce spéciale",90.0,Burgers,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
2,"Burger au Fromage","Burger classique garni de cheddar fondu",95.0,Burgers,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
3,"Double Burger","Deux steaks de bœuf empilés avec tous les accompagnements",130.0,Burgers,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
4,"Burger au Bacon","Garni de bacon croustillant et sauce BBQ",115.0,Burgers,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
5,"Burger Végétarien","Steak végétal avec légumes frais",95.0,Burgers,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
6,"Burger Poulet Épicé","Poulet croustillant avec mayo épicée et jalapeños",110.0,Burgers,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
8,"Rondelles d'Oignon","Rondelles d'oignon panées et croustillantes",45.0,Accompagnements,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
11,"Frites de Patate Douce","Frites de patate douce croustillantes avec sauce",49.93,Accompagnements,,1,"2025-10-11 00:36:05","2025-10-11 00:44:26"
12,"Salade César","Laitue romaine fraîche avec vinaigrette César",70.0,Accompagnements,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
13,Coca-Cola,"Coca classique (Moyen)",25.0,Boissons,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
14,Sprite,"Soda citron-lime (Moyen)",25.0,Boissons,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
15,"Jus d'Orange","Jus d'orange fraîchement pressé",35.0,Boissons,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
16,"Thé Glacé","Thé glacé rafraîchissant",30.0,Boissons,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
17,"Milkshake Vanille","Milkshake crémeux à la vanille",50.0,Boissons,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
18,"Milkshake Chocolat","Milkshake riche au chocolat",50.0,Boissons,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
19,"Café","Café chaud infusé",23.0,Boissons,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
20,"Eau Minérale","Eau minérale en bouteille",20.0,Boissons,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
21,"Tarte aux Pommes","Tarte aux pommes chaude à la cannelle",40.0,Desserts,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
22,"Coupe Glacée","Glace vanille avec sauce chocolat et cerise",45.0,Desserts,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
23,"Brownie au Chocolat","Brownie riche au chocolat avec noix",35.0,Desserts,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
24,"Cookies (3pc)","Cookies aux pépites de chocolat",30.0,Desserts,,1,"2025-10-11 00:36:05","2025-10-11 00:36:05"
